start_time,radiant_name,dire_name,bet,total_kills,pred_all,pred_low,pred_high,low_prob,high_prob,total10,kpm10,lead_abs10,model_variant,abs_err
1765815962,natusvincere,xtreme,low,48,38.555106386074286,33.23235411428707,59.3511471406114,0.5471706693795292,0.31636213923843,6.0,0.6,4.0,patch:7.40,9.444893613925714
1766611729,l1ga,perúrejects,low,59,41.322518016341675,32.802556221674806,57.88961065807319,0.5475541248713695,0.3847922915576071,4.0,0.4,4.0,patch:7.40,17.677481983658325
1766615464,l1ga,perúrejects,high,49,55.90353021131388,33.84049251322465,60.981927825821316,0.4140568933819677,0.612251624132975,15.0,1.5,7.0,patch:7.40,6.903530211313878
1766747027,kalmychata,mostwanted,low,44,39.615860462094986,32.67877380427386,58.92627493576091,0.5371727346077462,0.3630518068069817,2.0,0.2,2.0,patch:7.40,4.384139537905014
1766932265,kalmychata,mostwanted,high,43,51.22629127402698,34.8979759008906,60.06688000660846,0.44315955903095944,0.6067372756377828,11.0,1.1,9.0,patch:7.40,8.226291274026977
1767110417,kalmychata,l1ga,low,42,39.41846291821161,32.90809902685333,57.78307155572463,0.5521866090479157,0.3726388428614338,6.0,0.6,4.0,patch:7.40,2.5815370817883903
1767116690,kalmychata,l1ga,low,40,40.96487475354505,33.25231376328107,57.565476328310154,0.5125296416978836,0.4134524798351947,9.0,0.9,3.0,patch:7.40,0.9648747535450468
1767549020,1win,virtuspro,low,45,39.8318406308031,32.33318756439538,57.36968193926628,0.5568339083703681,0.34545444365914146,3.0,0.3,3.0,patch:7.40,5.1681593691969
1767718875,kalmychata,l1ga,low,43,40.40212533700186,30.40788229172195,58.738959103994986,0.5494383567449307,0.36203846953492674,6.0,0.6,4.0,patch:7.40,2.5978746629981373
1767956643,mouz,natusvincere,low,40,41.01075768789446,33.58305138825138,58.38408728053971,0.5372536896330037,0.3632535791191168,7.0,0.7,3.0,patch:7.40,1.0107576878944613
1767965621,mouz,natusvincere,low,43,40.491105870505294,32.12270121082447,59.136521315205364,0.5390024944905358,0.3441154250836732,4.0,0.4,2.0,patch:7.40,2.5088941294947062
1767974805,nigmagalaxy,liquid,low,41,39.92118208617124,32.96911406940898,57.40081580488051,0.5469635832508589,0.33543394510316765,4.0,0.4,2.0,patch:7.40,1.0788179138287575
1768006898,perúrejects,heroic,high,49,56.18757924793111,34.96888097506188,61.45586587360056,0.4208919483205947,0.6359453597944317,16.0,1.6,6.0,patch:7.40,7.187579247931112
1768015812,perúrejects,heroic,low,44,40.80840951818803,32.580454454041636,59.1478705548971,0.5372281952200357,0.3941459084040235,6.0,0.6,6.0,patch:7.40,3.1915904818119714
1768053779,avulus,aurora,low,72,41.84199165168424,33.98215754674582,58.284741894627174,0.5349846727590678,0.3737853300718244,7.0,0.7,3.0,patch:7.40,30.15800834831576
1768059127,aurora,avulus,low,46,38.43612261075812,31.27335770900307,58.59053219786587,0.5377071120066308,0.35156431784044545,5.0,0.5,5.0,patch:7.40,7.563877389241881
1768122265,execration,teamnemesis,low,60,41.956280665778806,32.58317594915049,60.003637697615375,0.5636618230777105,0.42691654012831876,,,,patch:7.40,18.043719334221194
1768143964,aurora,betboom,low,42,37.34555820303653,32.33328752420479,58.33721411487727,0.5605228946974545,0.3787231704784046,,,,patch:7.40,4.654441796963468
